Split_Mode,Frame_Number,Max_Test_Accuracy,Total_Train_Time,Final_Train_Loss,Final_Test_Loss
number,16,0.546,607.6878859996796,0.0016039023822127076,0.001984362803399563
time,16,0.556,607.2070825099945,0.0015703316929574485,0.001974438522011042
