Surrogate_Name,Max_Test_Accuracy,Converge_Epoch,Total_Train_Time,Final_Train_Loss,Final_Test_Loss
ATan_Default,0.6086,0,589.5969250202179,0.0004819821173814722,0.0004521972719579935
Sigmoid,0.7322,0,598.2896435260773,0.00036833641449144733,0.0003492529347538948
Esser,0.6957,0,605.2240326404572,0.00040837117293192885,0.00038604004420340063
SuperSpike,0.7564,0,609.6244549751282,0.0003268422898448383,0.00030991699881851675
