Preprocess_Method,Frame_Number,Max_Test_Accuracy,Total_Train_Time,Final_Train_Loss,Final_Test_Loss
baseline,16,0.577,661.7603220939636,0.04129664815988829,0.059120942489244044
count_norm,16,0.524,711.9180045127869,0.051654639922321055,0.06469459703657776
time_surface,16,0.534,685.9697563648224,0.05048406822772637,0.0629825599025935
adaptive_norm,16,0.513,798.7327241897583,0.055973192206269055,0.06641464377753437
